path,foundType,descriptiveType,unique,default,description,choices,regex
data/manifest.js:$.dataTypes.emailAddressChange.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.follower,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.follower.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.follower.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.follower.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.follower.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.follower.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.following,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.following.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.following.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.following.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.following.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.following.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ipAudit,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ipAudit.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ipAudit.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ipAudit.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ipAudit.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ipAudit.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.like,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.like.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.like.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.like.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.like.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.like.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsCreated,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsCreated.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsCreated.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsCreated.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsCreated.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsCreated.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsMember,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsMember.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsMember.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsMember.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsMember.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsMember.files[*].count,str,None,None,None,None,None,None
